s1,s2,s3,s4,s5
93,90,90,89,91
84,98,81,91,86
81,88,81,89,81
81,97,84,99,84
95,97,94,93,91
80,81,92,85,88
82,94,80,97,90
94,89,85,99,90
99,80,93,88,87
88,86,88,96,85
91,83,95,91,87
81,90,96,82,90
91,89,83,95,94
84,81,88,86,80
90,83,89,97,96
81,99,99,83,85
81,87,88,95,87
94,94,86,98,85
90,94,80,86,95
86,98,87,97,82
98,99,90,93,86
94,82,88,99,98
82,83,85,90,84
95,93,89,90,97
92,86,94,91,87
81,84,86,96,95
97,95,83,86,90
97,95,87,84,85
80,90,85,89,99
94,97,95,84,92
80,90,89,98,87
85,94,83,91,80
85,89,96,91,85
85,94,89,92,83
96,99,87,90,81
82,84,81,80,93
92,84,94,98,89
89,90,86,98,89
84,96,83,97,92
99,88,94,83,94
84,99,95,83,87
97,88,97,90,98
88,95,95,92,89
88,82,95,84,80
98,95,95,94,90
99,84,82,87,98
85,99,87,81,90
84,83,87,92,82
81,82,81,86,80
89,87,85,86,80
97,85,95,97,88
80,95,93,93,84
96,81,89,84,94
94,99,93,81,91
89,87,83,94,96
94,95,94,99,98
91,88,85,81,83
92,91,91,85,96
91,96,90,90,85
97,87,99,85,92
92,81,94,89,84
97,93,91,81,85
81,99,96,92,87
87,80,82,81,89
82,90,83,94,91
82,96,94,80,91
81,99,84,80,87
90,96,81,90,97
99,85,91,91,84
94,83,95,83,82
90,87,86,87,93
93,96,83,93,80
92,87,92,93,81
82,97,89,91,80
81,95,93,99,92
97,89,93,86,87
92,87,81,87,94
83,95,96,94,90
96,82,98,94,87
93,80,97,98,82
90,96,94,91,98
85,95,85,83,97
99,93,92,88,85
91,84,91,99,94
85,91,96,98,87
86,86,82,91,83
92,88,97,81,92
94,89,81,87,80
90,88,95,98,96
82,96,89,84,82
90,82,87,80,91
81,96,95,95,83
92,80,99,82,90
82,86,81,95,81
96,94,99,91,82
96,91,87,96,84
87,80,87,90,80
81,86,97,96,80
80,99,94,82,81
91,97,98,99,92
83,97,91,92,87
83,97,83,88,82
92,83,87,80,89
91,87,91,95,85
82,89,95,87,85
86,96,98,94,86
82,90,82,97,83
96,87,83,83,86
96,89,96,87,89
87,96,98,97,93
96,83,83,82,99
83,81,94,82,91
99,88,99,98,91
87,83,91,90,84
87,83,94,83,99
80,82,99,92,80
90,93,83,82,89
85,90,94,99,96
97,95,81,84,84
97,87,93,83,92
81,84,99,88,93
96,83,95,81,84
91,91,95,86,84
95,89,97,82,80
91,88,87,84,93
93,80,81,81,99
98,87,91,91,85
94,96,83,83,89
98,86,91,83,84
98,94,91,95,95
97,85,89,91,95
90,97,85,83,91
84,88,96,86,94
91,88,91,90,93
80,89,96,89,93
82,83,94,88,95
98,85,98,97,80
90,88,88,86,95
80,83,80,89,86
89,82,97,92,83
92,81,94,81,96
83,96,88,95,99
85,95,98,96,83
95,80,89,96,89
86,80,92,93,84
82,81,94,96,86
87,83,95,82,88
93,98,85,93,87
93,93,97,95,97
90,80,93,85,81
92,82,84,87,84
83,91,95,98,80
86,97,92,87,83
81,94,98,92,89
83,82,97,98,82
96,93,90,83,96
92,93,91,81,84
98,83,96,83,83
95,96,97,85,96
85,93,83,95,86
90,80,93,82,87
85,85,80,85,89
97,91,89,91,87
92,89,97,84,83
97,92,97,90,89
99,97,90,97,88
91,90,89,89,97
99,94,95,92,84
96,87,83,83,91
85,91,88,91,84
83,94,83,91,86
83,91,91,91,97
90,87,90,99,81
93,85,98,81,87
81,93,85,96,80
80,92,88,84,81
99,94,95,92,84
90,98,87,84,99
93,85,94,95,81
90,86,95,94,94
86,97,93,92,94
84,80,95,86,93
89,99,89,94,84
85,96,89,95,83
83,82,89,86,84
84,96,88,96,87
92,92,92,92,88
80,86,96,83,95
92,86,85,98,93
86,88,89,93,86
86,96,93,83,90
95,91,84,96,97
98,85,83,96,92
89,90,83,97,97
98,93,92,98,91
97,92,89,91,99
82,86,91,95,92
86,90,98,90,87
92,86,88,97,87
82,83,81,89,97
95,86,84,89,88
99,85,84,88,92
90,90,80,91,93
97,83,92,90,93
91,82,97,80,88
84,87,95,87,98
81,86,81,94,97
97,93,94,90,93
85,84,83,97,82
91,91,80,99,82
86,87,84,98,98
84,98,83,97,84
84,95,99,93,93
89,96,87,83,81
81,98,85,86,87
92,85,90,95,80
88,93,92,88,93
87,91,96,80,84
96,84,92,80,82
85,84,93,81,97
85,80,82,83,89
94,87,91,85,91
80,80,97,98,94
90,87,96,90,83
91,94,81,83,93
99,86,95,94,93
86,91,91,93,83
90,95,88,94,80
91,86,82,91,81
90,89,98,95,80
80,87,81,92,82
86,92,98,81,90
80,94,83,98,93
84,88,97,80,88
91,99,96,92,90
82,85,82,81,93
88,87,87,81,97
86,95,92,92,98
96,95,86,95,96
90,86,93,93,93
94,95,85,97,91
91,95,93,80,88
99,84,94,96,89
93,91,97,83,87
91,80,91,85,82
83,82,87,95,84
94,91,84,95,83
82,90,94,95,96
96,91,94,98,98
92,92,90,91,91
90,98,83,88,92
93,85,99,92,81
85,98,92,81,81
97,94,88,82,93
88,84,94,97,94
85,88,95,94,97
98,92,84,94,96
83,82,91,98,93
89,90,81,99,97
84,98,97,94,87
90,92,84,97,89
81,95,89,88,81
90,80,82,83,89
80,84,97,84,80
80,86,90,99,92
82,81,84,92,91
80,98,92,99,84
85,95,89,89,86
85,81,96,92,88
83,82,84,88,87
98,91,83,84,95
94,81,80,88,81
95,99,89,91,87
89,91,97,92,85
97,95,87,97,97
83,82,99,94,94
91,81,82,82,81
95,89,89,80,81
93,95,82,86,83
89,98,86,84,87
93,93,90,98,92
97,89,94,97,97
97,89,89,84,87
86,85,88,98,89
87,98,84,97,86
94,91,80,83,95
95,98,85,91,85
98,93,99,98,94
95,85,83,94,87
92,94,90,86,80
82,91,92,88,95
98,84,85,82,99
81,92,95,89,92
83,80,96,90,81
81,99,87,91,90
84,86,97,86,89
87,95,83,84,82
81,93,96,96,82
87,88,96,82,96
99,92,88,90,86
91,92,90,85,86
93,87,87,92,82
81,88,99,96,94
97,88,82,95,84
88,99,83,96,92
98,81,80,90,94
96,94,88,81,83
90,87,81,94,96
90,83,97,81,98
92,92,90,87,93
84,89,81,82,80
95,95,96,80,98
99,81,86,85,98
89,96,85,99,96
85,94,83,99,86
80,91,94,99,81
92,88,80,98,89
92,96,93,90,94
98,98,81,89,99
93,83,91,90,98
89,93,95,87,99
90,96,83,82,91
83,97,90,94,95
92,98,89,98,88
93,81,81,87,82
96,85,91,90,97
80,80,91,94,93
85,80,81,80,96
80,91,99,94,89
97,90,96,89,87
94,81,87,83,94
90,95,83,92,87
94,96,92,86,96
90,91,87,97,92
95,93,98,98,80
86,92,84,96,94
86,88,85,83,89
96,89,91,98,86
97,84,97,98,94
99,86,96,92,87
96,90,93,92,94
90,91,83,91,92
93,98,89,92,88
89,81,95,93,80
98,99,91,82,92
97,93,98,97,89
80,90,86,83,91
96,95,89,98,84
90,98,81,88,90
93,86,86,85,94
95,85,91,97,98
80,86,89,80,96
88,80,94,87,93
80,85,90,86,96
80,98,80,86,94
85,93,83,80,94
91,93,80,94,89
81,81,89,80,87
93,97,97,94,88
90,90,93,96,92
81,83,84,84,93
98,98,80,82,80
94,87,81,90,98
87,93,88,89,87
85,96,84,81,82
90,87,90,98,85
87,87,94,92,90
80,93,87,98,92
93,96,88,83,82
99,98,83,97,92
99,92,82,99,96
98,91,82,91,86
90,84,81,88,98
98,91,84,80,99
96,80,86,94,84
91,86,80,97,85
86,95,84,86,95
83,88,95,98,96
85,92,87,90,92
86,89,91,83,87
93,97,89,85,92
90,98,87,85,99
92,80,80,82,96
93,80,86,82,86
80,94,85,90,97
86,89,81,99,81
80,89,92,82,81
87,92,96,84,87
82,91,83,92,99
98,91,87,84,81
80,85,80,85,82
87,93,91,98,81
86,85,86,99,81
82,98,93,82,84
82,85,84,81,86
81,89,98,84,95
93,95,88,92,85
84,95,93,86,92
81,99,94,89,80
87,95,84,97,93
94,82,90,95,99
90,87,99,97,86
86,80,82,98,87
85,82,86,96,89
98,91,84,85,86
90,92,91,97,87
87,82,93,82,93
83,80,98,96,93
80,98,86,95,99
92,94,92,80,98
94,90,84,85,89
90,93,96,94,93
84,94,88,89,96
85,86,93,91,98
85,99,81,90,92
99,86,89,92,90
98,87,83,95,93
88,81,88,91,80
94,85,90,83,84
83,81,80,90,87
97,99,90,94,94
93,80,99,98,80
98,90,90,88,95
85,85,80,82,99
96,83,99,83,88
96,92,96,96,98
87,90,92,80,95
80,82,85,86,87
99,96,95,82,84
99,96,82,85,96
99,92,98,99,87
82,92,91,90,99
86,99,80,93,95
95,93,96,82,96
92,85,80,92,92
92,90,86,91,85
93,94,89,98,98
89,86,90,85,90
89,99,86,87,97
96,86,87,81,95
93,83,89,82,93
83,85,87,87,88
87,97,80,84,87
88,98,95,91,87
82,80,94,80,93
80,90,90,93,93
95,98,90,98,95
94,90,99,94,92
96,91,90,88,85
88,96,95,97,81
97,93,86,83,83
95,89,98,87,80
96,90,96,82,87
95,93,94,86,80
83,96,82,93,96
86,81,93,80,90
86,84,94,92,87
83,92,83,92,92
83,82,88,86,95
87,88,98,80,91
89,86,97,90,83
90,80,97,95,84
96,91,91,88,90
82,92,88,97,85
96,83,93,87,95
97,97,92,83,95
89,89,85,87,87
86,83,98,81,85
88,97,82,98,96
89,93,90,82,95
95,90,82,94,94
89,97,90,98,98
83,80,96,80,97
96,96,89,86,87
84,80,96,97,90
